

<<START>>,<<FMS_METER_MST>>,,,,, 	(20-SEP-2025 12:13:18)
2 , 1 , RIL , C , 4 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 5 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 6 , 1004, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 6 , 1005, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 7 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 7 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 8 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 8 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 8 , 1004, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 9 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 9 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 10 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 11 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 12 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 13 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 13 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 14 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 14 , 1003, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 15 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 15 , 1004, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 16 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 16 , 1004, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 17 , 1001, 	(20-SEP-2025 12:13:19)
2 , 1 , RIL , C , 17 , 1004, 	(20-SEP-2025 12:13:19)
2 , 2 , MGL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 2 , MGL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 2 , MGL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 2 , MGL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 2 , MGL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 3 , GSPCL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 3 , GSPCL , C , 3 , 1004, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 4 , 1003, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 4 , 1005, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 5 , 1005, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 5 , 1003, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 5 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 4 , Gail , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 6 , 1005, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 6 , 1003, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 6 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 4 , Gail , C , 7 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 7 , 1004, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 8 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 8 , 1004, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 9 , 1001, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 9 , 1005, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 9 , 1003, 	(20-SEP-2025 12:13:19)
2 , 4 , Gail , C , 9 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 ,  , BPL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 ,  , BPL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 217 , ESL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 217 , ESL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 3 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 3 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 4 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 5 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 5 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 6 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 6 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 7 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 7 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 7 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 7 , 1005, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 8 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 8 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 8 , 1005, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 8 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 9 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 9 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 9 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 10 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 10 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 10 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 11 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 11 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 11 , 1004, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 12 , 1001, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 12 , 1003, 	(20-SEP-2025 12:13:19)
2 , 5 , NTPC , C , 12 , 1004, 	(20-SEP-2025 12:13:19)
2 , 6 , KRIBHCO , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 6 , KRIBHCO , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 6 , KRIBHCO , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 6 , KRIBHCO , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 6 , KRIBHCO , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 6 , KRIBHCO , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 7 , DFPCL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 7 , DFPCL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 7 , DFPCL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 7 , DFPCL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 8 , AIGL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 8 , AIGL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 8 , AIGL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 8 , AIGL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 32 , KFL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 249 , NPL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 9 , SIGIL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 225 , VIL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 11 , TPL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 11 , TPL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 11 , TPL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 11 , TPL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 11 , TPL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 12 , MNGL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 12 , MNGL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 12 , MNGL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 3 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 4 , 1003, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 5 , 1003, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 5 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 6 , 1004, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 7 , 1001, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 7 , 1003, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 7 , 1005, 	(20-SEP-2025 12:13:19)
2 , 13 , IGL , C , 7 , 1004, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
BPCL,1,GVAT TIN No.-S,24073403217,GVAT TIN No.-S is different from VAT TIN No.-S, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 14 , BPCL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 3 , 1003, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 3 , 1004, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 4 , 1003, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 4 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 14 , BPCL , C , 4 , 1005, 	(20-SEP-2025 12:13:19)
2 , 14 , BPCL , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 15 , HPCL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 4 , 1003, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 4 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 15 , HPCL , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 4 , 1005, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 5 , 1003, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 5 , 1004, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 6 , 1003, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 6 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 15 , HPCL , C , 6 , 1005, 	(20-SEP-2025 12:13:19)
HPCL,6,VAT TIN No.-S,27960000002V,VAT TIN No.-S is different from GST TIN No.-S, 	(20-SEP-2025 12:13:19)
2 , 15 , HPCL , C , 6 , 1005, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 15 , HPCL , C , 6 , 1004, 	(20-SEP-2025 12:13:19)
2 , 17 , BGL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 18 , GSFC , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 18 , GSFC , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 18 , GSFC , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 18 , GSFC , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 18 , GSFC , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 18 , GSFC , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 228 , H-Energy , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 228 , H-Energy , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 228 , H-Energy , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 228 , H-Energy , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 228 , H-Energy , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 228 , H-Energy , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 160 , SIMPL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 160 , SIMPL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 160 , SIMPL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 160 , SIMPL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 1 , 1004, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 2 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 19 , ATGL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 19 , ATGL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 1 , 1007, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 1 , 1003, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 2 , 1007, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 3 , 1007, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 3 , 1003, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 3 , 1003, 	(20-SEP-2025 12:13:19)	 (Not Inserted)
2 , 20 , AMNS , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 4 , 1005, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 5 , 1003, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 5 , 1005, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , T , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 20 , AMNS , T , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 1 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 1 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 2 , 1002, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 2 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 2 , 1003, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 2 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 2 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 3 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 3 , 1003, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 3 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 3 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 4 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 4 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 4 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 5 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 5 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 6 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 6 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 6 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 7 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 7 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 7 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 8 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 8 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 8 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 9 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 9 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 9 , 1004, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 10 , 1001, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 10 , 1005, 	(20-SEP-2025 12:13:19)
2 , 154 , SEMTIPL , C , 10 , 1004, 	(20-SEP-2025 12:13:19)
