

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(01-MAR-2025 15:53:01)
RUBBER/COFFEE ETC,, 	(01-MAR-2025 15:53:07)
FORESTRY&TIMBER,, 	(01-MAR-2025 15:53:07)
AGRI.CROPS/ORCHARD,, 	(01-MAR-2025 15:53:07)
SUGAR MILLS,, 	(01-MAR-2025 15:53:07)
FLOUR MILLS ETC,, 	(01-MAR-2025 15:53:07)
VEG. OIL MILLS,, 	(01-MAR-2025 15:53:07)
FOOD PROCESSING,, 	(01-MAR-2025 15:53:07)
DAIRIES&MILK PROC,, 	(01-MAR-2025 15:53:07)
FISHERIES,, 	(01-MAR-2025 15:53:07)
AGRI. MISCELLANEOUS,, 	(01-MAR-2025 15:53:07)
DOMESTIC AIRLINES,, 	(01-MAR-2025 15:53:07)
FOREIGN AIRLINES,, 	(01-MAR-2025 15:53:07)
FERTILISER-GAS BASED,, 	(01-MAR-2025 15:53:07)
CAUSTIC SODA ETC.,, 	(01-MAR-2025 15:53:07)
HEAVY ACIDS,, 	(01-MAR-2025 15:53:07)
OTHER INORG.CHEM,, 	(01-MAR-2025 15:53:07)
PETRO-CHEM OTHERS,, 	(01-MAR-2025 15:53:07)
PETROCHEM -GAS BASED,, 	(01-MAR-2025 15:53:07)
DYES & DYE STUFFS,, 	(01-MAR-2025 15:53:07)
SYNTHETIC RUBBER,, 	(01-MAR-2025 15:53:07)
PESTI./AGRO CHEM,, 	(01-MAR-2025 15:53:07)
OTHER ORG.CHEMICAL,, 	(01-MAR-2025 15:53:07)
DRUGS&PHARMACEUTICAL,, 	(01-MAR-2025 15:53:07)
PAINTS ETC,, 	(01-MAR-2025 15:53:07)
INDU EXPLOSIVE,, 	(01-MAR-2025 15:53:07)
CALCINATION PLANTS,, 	(01-MAR-2025 15:53:07)
SOAPS ETC,, 	(01-MAR-2025 15:53:07)
MISC CHEM INDU,, 	(01-MAR-2025 15:53:07)
CEMENT/BUILD MAT,, 	(01-MAR-2025 15:53:07)
BITUMEN/BUILD.MAT,, 	(01-MAR-2025 15:53:07)
CIVIL MISCELLANEOUS,, 	(01-MAR-2025 15:53:07)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(01-MAR-2025 15:53:07)
LDC,, 	(01-MAR-2025 15:53:07)

TOTAL DATA IN EXCEL : ,97, 	(01-MAR-2025 15:53:07)
 

TOTAL DATA INSERTED : ,96, 	(01-MAR-2025 15:53:07)
 

TOTAL SKIPPED DATA ,0, 	(01-MAR-2025 15:53:07)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(01-MAR-2025 15:53:07)
 

<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(01-MAR-2025 15:53:07)
 
COMPANY_CD,CD,ABBR,ADDR_TYPE,ENTITY,EFF_DT,TIMESTAMP
2, 1 , RIL , C , C , 14/09/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 1 , RIL , R , C , 14/09/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 1 , RIL , B , C , 14/09/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 2 , MGL , C , C , 16/07/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 2 , MGL , R , C , 16/07/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 2 , MGL , B , C , 16/07/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 3 , GSPCL , C , C , 21/04/2006 00:00:00, 	(01-MAR-2025 15:53:07)
2, 3 , GSPCL , B , C , 21/04/2006 00:00:00, 	(01-MAR-2025 15:53:07)
2, 3 , GSPCL , R , C , 21/04/2006 00:00:00, 	(01-MAR-2025 15:53:07)
2, 3 , GSPCL , C , C , 24/03/2005 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 3 , GSPCL , R , C , 24/03/2005 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 3 , GSPCL , B , C , 24/03/2005 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 4 , Gail , B , C , 08/03/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 4 , Gail , R , C , 08/03/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 4 , Gail , C , C , 08/03/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 4 , Gail , R , R , 08/03/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2,  , BPL , R , C , 09/04/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2,  , BPL , B , C , 09/04/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2,  , BPL , C , C , 09/04/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2,  , EPL , R , C , 09/04/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2,  , EPL , B , C , 09/04/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2,  , EPL , C , C , 09/04/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 217 , ESL , R , C , 01/04/2006 00:00:00, 	(01-MAR-2025 15:53:07)
2, 217 , ESL , R , C , 26/08/2006 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 5 , NTPC , R , C , 01/06/2006 00:00:00, 	(01-MAR-2025 15:53:07)
2, 5 , NTPC , C , C , 01/06/2006 00:00:00, 	(01-MAR-2025 15:53:07)
2, 5 , NTPC , R , C , 18/11/2006 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 5 , NTPC , C , C , 18/11/2006 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 6 , KRIBHCO , C , C , 05/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 6 , KRIBHCO , R , C , 05/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 6 , KRIBHCO , B , C , 05/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 7 , DFPCL , C , C , 03/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 7 , DFPCL , R , C , 03/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 7 , DFPCL , B , C , 03/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 8 , AIGL , B , C , 22/07/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 8 , AIGL , C , C , 22/07/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 8 , AIGL , R , C , 22/07/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 218 , ESEZ , R , C , 04/04/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2,  , KSFL , C , C , 20/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2,  , KSFL , R , C , 20/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 242 , MAHAGENCO , C , C , 16/04/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 242 , MAHAGENCO , R , C , 16/04/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 249 , NPL , C , C , 28/02/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 249 , NPL , R , C , 28/02/2008 00:00:00, 	(01-MAR-2025 15:53:07)
2, 9 , SIGIL , C , C , 01/04/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 9 , SIGIL , R , C , 01/04/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 9 , SIGIL , B , C , 01/04/2009 00:00:00, 	(01-MAR-2025 15:53:07)
2, 225 , VIL , R , C , 12/12/2007 00:00:00, 	(01-MAR-2025 15:53:07)
2, 10 , GGCL , R , C , 11/05/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 10 , GGCL , B , C , 11/05/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 10 , GGCL , C , C , 11/05/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 11 , TPL , B , C , 04/08/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 11 , TPL , C , C , 04/08/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 11 , TPL , R , C , 04/08/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 11 , TPL , C , C , 20/12/2018 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 11 , TPL , B , C , 20/12/2018 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 11 , TPL , R , C , 20/12/2018 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 280 , WMSL , B , C , 25/11/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 280 , WMSL , C , C , 25/11/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 280 , WMSL , B , C , 31/05/2011 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 280 , WMSL , R , C , 31/05/2011 00:00:00, 	(01-MAR-2025 15:53:07)
2, 280 , WMSL , C , C , 31/05/2011 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 12 , MNGL , R , C , 20/06/2013 00:00:00, 	(01-MAR-2025 15:53:07)
2, 12 , MNGL , B , C , 20/06/2013 00:00:00, 	(01-MAR-2025 15:53:07)
2, 12 , MNGL , C , C , 20/06/2013 00:00:00, 	(01-MAR-2025 15:53:07)
2, 13 , IGL , C , C , 04/02/2011 00:00:00, 	(01-MAR-2025 15:53:07)
2, 13 , IGL , R , C , 04/02/2011 00:00:00, 	(01-MAR-2025 15:53:07)
2, 13 , IGL , B , C , 04/02/2011 00:00:00, 	(01-MAR-2025 15:53:07)
2, 14 , BPCL , R , C , 01/08/2022 00:00:00, 	(01-MAR-2025 15:53:07)
2, 14 , BPCL , R , C , 16/12/2022 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 14 , BPCL , B , C , 24/07/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 14 , BPCL , R , C , 24/07/2014 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 14 , BPCL , C , C , 24/07/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 14 , BPCL , R , T , 01/08/2022 00:00:00, 	(01-MAR-2025 15:53:07)
2, 14 , BPCL , R , T , 16/12/2022 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 269 , TEL , C , C , 06/08/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 269 , TEL , R , C , 06/08/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 269 , TEL , B , C , 06/08/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 15 , HPCL , R , C , 15/06/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 15 , HPCL , C , C , 15/06/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 15 , HPCL , B , C , 15/06/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 15 , HPCL , R , C , 16/09/2014 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 15 , HPCL , B , C , 16/09/2014 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 15 , HPCL , R , C , 17/11/2010 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 15 , HPCL , R , T , 15/06/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 16 , JSW , B , C , 25/11/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 16 , JSW , C , C , 25/11/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 16 , JSW , R , C , 25/11/2014 00:00:00, 	(01-MAR-2025 15:53:07)
2, 16 , JSW , B , C , 31/05/2011 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 16 , JSW , C , C , 31/05/2011 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 16 , JSW , R , C , 31/05/2011 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 17 , BGL , R , C , 28/07/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 17 , BGL , C , C , 28/07/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 17 , BGL , B , C , 28/07/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 18 , GSFC , C , C , 14/03/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 18 , GSFC , R , C , 14/03/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 18 , GSFC , B , C , 14/03/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 228 , H-Energy , C , C , 14/11/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 228 , H-Energy , B , C , 14/11/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 228 , H-Energy , R , C , 14/11/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 160 , SIMPL , C , C , 14/11/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 160 , SIMPL , R , C , 14/11/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 160 , SIMPL , B , C , 14/11/2016 00:00:00, 	(01-MAR-2025 15:53:07)
2, 19 , ATGL , C , C , 04/04/2022 00:00:00, 	(01-MAR-2025 15:53:07)
2, 19 , ATGL , R , C , 04/04/2022 00:00:00, 	(01-MAR-2025 15:53:07)
2, 19 , ATGL , B , C , 04/04/2022 00:00:00, 	(01-MAR-2025 15:53:07)
2, 19 , ATGL , B , C , 13/01/2017 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 19 , ATGL , C , C , 13/01/2017 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 19 , ATGL , R , C , 13/01/2017 00:00:00, 	(01-MAR-2025 15:53:07)	 (Not Inserted)
2, 20 , AMNS , C , C , 18/01/2012 00:00:00, 	(01-MAR-2025 15:53:07)
2, 20 , AMNS , R , C , 18/01/2012 00:00:00, 	(01-MAR-2025 15:53:08)
2, 20 , AMNS , B , C , 18/01/2012 00:00:00, 	(01-MAR-2025 15:53:08)
2, 20 , AMNS , R , T , 18/01/2012 00:00:00, 	(01-MAR-2025 15:53:08)
2,  , SEMTPL , C , C , 28/07/2017 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , SEMTPL , R , C , 28/07/2017 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , SEMTPL , B , C , 28/07/2017 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , SEMTPL , R , T , 28/07/2017 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 21 , SGIPL , C , C , 28/11/2017 00:00:00, 	(01-MAR-2025 15:53:08)
2, 21 , SGIPL , R , C , 28/11/2017 00:00:00, 	(01-MAR-2025 15:53:08)
2, 21 , SGIPL , B , C , 28/11/2018 00:00:00, 	(01-MAR-2025 15:53:08)
2, 22 , VGL , C , C , 03/07/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 22 , VGL , R , C , 03/07/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 22 , VGL , B , C , 03/07/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 23 , PGPGPL , R , C , 01/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 23 , PGPGPL , C , C , 01/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 23 , PGPGPL , R , C , 04/10/2019 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 23 , PGPGPL , B , C , 04/10/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 23 , PGPGPL , C , C , 04/10/2019 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 23 , PGPGPL , C , C , 28/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 23 , PGPGPL , R , C , 28/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 23 , PGPGPL , B , C , 28/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 24 , HCG , R , C , 02/12/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 24 , HCG , C , C , 02/12/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 24 , HCG , B , C , 02/12/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 25 , GGL , C , C , 09/12/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 25 , GGL , R , C , 09/12/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 25 , GGL , B , C , 09/12/2019 00:00:00, 	(01-MAR-2025 15:53:08)
2, 26 , CFC , C , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 26 , CFC , R , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 26 , CFC , B , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 27 , IFFCO , B , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 27 , IFFCO , R , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 27 , IFFCO , C , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 28 , HGL-RLNG , R , C , 01/02/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 28 , HGL-RLNG , B , C , 01/02/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 28 , HGL-RLNG , C , C , 01/02/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 29 , PipeInfra , R , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 29 , PipeInfra , B , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 29 , PipeInfra , C , C , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 29 , PipeInfra , R , R , 01/01/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 30 , NFL , C , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 30 , NFL , R , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 30 , NFL , B , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 31 , HSIL , R , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 31 , HSIL , C , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2,  , VVF , C , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , VVF , R , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , VVF , B , C , 01/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 32 , KFL , R , C , 23/07/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 32 , KFL , B , C , 23/07/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 32 , KFL , C , C , 23/07/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 197 , BIL , C , C , 25/06/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 197 , BIL , R , C , 25/06/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 197 , BIL , B , C , 25/06/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 254 , RIPL , R , C , 19/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 254 , RIPL , B , C , 19/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 254 , RIPL , C , C , 19/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 207 , CP , C , C , 15/10/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 207 , CP , R , C , 15/10/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 207 , CP , B , C , 15/10/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2,  , HHFG DLNG , B , C , 26/10/2020 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , HHFG DLNG , C , C , 26/10/2020 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2,  , HHFG DLNG , R , C , 26/10/2020 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 187 , VIDUWIL , C , C , 01/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 187 , VIDUWIL , R , C , 01/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 187 , VIDUWIL , B , C , 01/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 33 , AGP CGD , C , C , 25/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 33 , AGP CGD , R , C , 25/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 33 , AGP CGD , B , C , 25/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 34 , MINDA , C , C , 29/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 34 , MINDA , R , C , 29/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 34 , MINDA , B , C , 29/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 238 , LEIPL , R , C , 04/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 238 , LEIPL , B , C , 04/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 238 , LEIPL , C , C , 04/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 35 , SCHOTT , C , C , 24/02/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 35 , SCHOTT , R , C , 24/02/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 35 , SCHOTT , B , C , 24/02/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 36 , HIL , C , C , 01/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 36 , HIL , R , C , 01/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 36 , HIL , B , C , 01/01/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 37 , HCGD-B , B , C , 01/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 37 , HCGD-B , R , C , 01/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 37 , HCGD-B , C , C , 01/04/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 198 , BIPL , C , C , 21/07/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 198 , BIPL , R , C , 21/07/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 198 , BIPL , B , C , 21/07/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 220 , EXXARO , R , C , 23/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 220 , EXXARO , B , C , 23/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 220 , EXXARO , C , C , 23/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 220 , EXXARO , R , C , 29/05/2021 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 257 , STVPL , R , C , 18/02/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 233 , JGPL , R , C , 18/02/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 279 , WALLCERA , R , C , 17/02/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 193 , ASTIS , R , C , 17/02/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 109 , PROTON , R , C , 16/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 192 , ANTIQUE , R , C , 16/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2,  , ACER , R , C , 16/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)	 (Not Inserted)
2, 38 , KAJARIA , C , C , 30/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 38 , KAJARIA , R , C , 30/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 38 , KAJARIA , B , C , 30/11/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 222 , GASGROWS , R , C , 07/05/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 39 , SISECAM , C , C , 09/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 39 , SISECAM , R , C , 09/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 39 , SISECAM , B , C , 09/06/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 40 , ATPL , R , C , 17/12/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 40 , ATPL , B , C , 17/12/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 40 , ATPL , C , C , 17/12/2020 00:00:00, 	(01-MAR-2025 15:53:08)
2, 41 , OPAL , B , C , 28/07/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 41 , OPAL , R , C , 28/07/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 41 , OPAL , C , C , 28/07/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 234 , JKPAPER , C , C , 02/08/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 234 , JKPAPER , R , C , 02/08/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 234 , JKPAPER , B , C , 02/08/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 263 , STL , R , C , 25/08/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 263 , STL , B , C , 25/08/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 263 , STL , C , C , 25/08/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 273 , UEPL , R , C , 03/09/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 206 , CELLO , R , C , 01/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 206 , CELLO , B , C , 01/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 206 , CELLO , C , C , 01/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 204 , CALDERYS , R , C , 20/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 204 , CALDERYS , B , C , 20/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 204 , CALDERYS , C , C , 20/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 42 , RCF , R , C , 30/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 42 , RCF , B , C , 30/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 42 , RCF , C , C , 30/12/2021 00:00:00, 	(01-MAR-2025 15:53:08)
2, 201 , BWRL , R , C , 25/01/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 201 , BWRL , B , C , 25/01/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 201 , BWRL , C , C , 25/01/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 235 , KRYO , R , C , 31/01/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 276 , VIRGO , C , C , 12/02/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 276 , VIRGO , R , C , 12/02/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 276 , VIRGO , B , C , 12/02/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 196 , BLPL , R , C , 02/03/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 196 , BLPL , B , C , 26/05/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 196 , BLPL , C , C , 26/05/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 223 , GIPSKARTON , B , C , 24/03/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 223 , GIPSKARTON , R , C , 24/03/2022 00:00:00, 	(01-MAR-2025 15:53:08)
2, 270 , TGPL , C , T , 27/04/2005 00:00:00, 	(01-MAR-2025 15:53:08)
