

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(13-JUN-2025 15:11:30)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 710015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 7, 2008-2009,F,1,1,T0014872,13.42,2NS0007/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 7, 2008-2009,CP,1,1,T0014857,13.42,2PNCD0007/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710015,0, N, 1, 1,10,20/04/2008 00:00:00, 20/04/2008 00:00:00, 5, 2008-2009,CF,1,1,T0014872,13.42,2NCD0005/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 8, 2008-2009,P,1,1,T0014864,13.42,2PNS0008/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 8, 2008-2009,PF,1,1,T0014864,13.42,2PFNS0008/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 8, 2008-2009,F,1,1,T0014878,13.42,2NS0008/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 8, 2008-2009,CP,1,1,T0014864,13.42,2PNCD0008/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710016,0, N, 1, 1,10,24/04/2008 00:00:00, 24/04/2008 00:00:00, 6, 2008-2009,CF,1,1,T0014878,13.42,2NCD0006/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 9, 2008-2009,P,1,1,T0015779,19.55,2PNS0009/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 9, 2008-2009,PF,1,1,T0015779,19.55,2PFNS0009/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 9, 2008-2009,F,1,1,T0015793,19.55,2NS0009/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 9, 2008-2009,CP,1,1,T0015779,19.55,2PNCD0009/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710021,0, N, 1, 1,10,24/08/2008 00:00:00, 24/08/2008 00:00:00, 7, 2008-2009,CF,1,1,T0015793,19.55,2NCD0007/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 10, 2008-2009,P,1,1,T0017321,4.5,2PNS0010/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 10, 2008-2009,PF,1,1,T0017321,4.5,2PFNS0010/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 10, 2008-2009,F,1,1,T0017324,4.5,2NS0010/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 10, 2008-2009,CP,1,1,T0017321,4.5,2PNCD0010/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710023,0, N, 1, 1,10,28/02/2009 00:00:00, 28/02/2009 00:00:00, 8, 2008-2009,CF,1,1,T0017324,4.5,2NCD0008/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 11, 2008-2009,P,1,1,T0015346,18.8,2PNS0011/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 11, 2008-2009,PF,1,1,T0015346,18.8,2PFNS0011/08-09,1, 	(13-JUN-2025 15:11:34)
2,270, 1, 0, 710018,0, N, 1, 1,10,28/06/2008 00:00:00, 28/06/2008 00:00:00, 11, 2008-2009,F,1,1,T0015349,18.8,2NS0011/08-09,1, 	(13-JUN-2025 15:11:34)
