2,1,C,A,1,0,O,15002,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,1,0,O,21001,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,1,0,O,17001,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,1,0,O,19001,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,1,0,O,21002,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,1,0,O,18001,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,2,0,Q,14001,0, 	(28-MAY-2025 10:18:13)
2,1,C,A,2,0,Q,13001,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,1,Q,19002,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,1,Q,19003,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,1,Q,19004,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,1,Q,19005,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19006,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19007,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,4,0,Q,18002,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19008,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,1,0,Q,15003,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19009,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19010,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,1,0,Q,16002,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19011,0, 	(28-MAY-2025 10:18:13)
2,3 , C,A,5,0,Q,19002,0, 	(28-MAY-2025 10:18:13)	 (Not Inserted)
2,3 , C,A,5,0,Q,19003,0, 	(28-MAY-2025 10:18:13)	 (Not Inserted)
2,3 , C,A,5,0,Q,19004,0, 	(28-MAY-2025 10:18:13)	 (Not Inserted)
2,3,C,A,5,0,Q,19012,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,5,0,Q,19013,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,3,0,Q,17002,0, 	(28-MAY-2025 10:18:13)
2,3 , C,A,5,0,Q,19005,0, 	(28-MAY-2025 10:18:13)	 (Not Inserted)
2,3,C,A,2,0,Q,17003,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,6,1,Q,11001,1, 	(28-MAY-2025 10:18:13)
2,3,C,A,6,0,Q,13002,0, 	(28-MAY-2025 10:18:13)
2,3,C,A,6,0,Q,11002,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,1,0,Q,16003,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,2,0,Q,18003,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,3,0,Q,18004,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,7,0,Q,24001,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,4,0,Q,19014,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,5,0,Q,20001,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,6,0,Q,21003,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,4,0,Q,19015,0, 	(28-MAY-2025 10:18:13)
2,4,C,A,8,0,Q,14002,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,16004,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,16005,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,16006,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,16007,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,16008,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,15004,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,16009,0, 	(28-MAY-2025 10:18:13)
2,11,C,A,1,0,O,19016,0, 	(28-MAY-2025 10:18:13)
2,15,C,A,1,0,O,20002,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,1,0,Q,17004,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,19,0,Q,25001,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,3,0,Q,17005,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,8,0,Q,19017,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,5,0,Q,17006,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,11,0,Q,19018,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,7,0,Q,19019,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,12,0,Q,19020,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,6,0,Q,17007,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,9,0,Q,19021,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,4,0,Q,17008,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,14,0,Q,19022,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,10,0,Q,19023,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,15,0,Q,19024,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,18,0,Q,20003,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,16,0,Q,19025,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,18,0,Q,20004,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,17,0,Q,20005,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,19,0,Q,25002,0, 	(28-MAY-2025 10:18:13)
2,20,C,A,2,0,Q,17009,0, 	(28-MAY-2025 10:18:13)
2,154,C,A,1,0,O,25003,0, 	(28-MAY-2025 10:18:13)
2,154,C,A,1,0,O,25004,0, 	(28-MAY-2025 10:18:13)

TOTAL DATA IN EXCEL : ,74,,,,,, 	(28-MAY-2025 10:18:13)
 

TOTAL DATA INSERTED : ,70,,,,,, 	(28-MAY-2025 10:18:13)
 

TOTAL SKIPPED DATA ,4,,,,,, 	(28-MAY-2025 10:18:13)
 
<<END>>,<<FMS_LTCORA_CONT_MST>>,,,,,, 	(28-MAY-2025 10:18:13)
 

<<START>>,<<FMS_LTCORA_CONT_BU>>, 	(28-MAY-2025 10:18:13)
 
COMPANY_CD,COUNTERPARTY_CD,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,PLANT_SEQ_NO 	(28-MAY-2025 10:18:13)
 

TOTAL DATA IN EXCEL : ,0, 	(28-MAY-2025 10:18:13)
 

TOTAL DATA INSERTED : ,0, 	(28-MAY-2025 10:18:13)
 

TOTAL SKIPPED DATA ,70, 	(28-MAY-2025 10:18:13)
 
<<END>>,<<FMS_LTCORA_CONT_BU>>, 	(28-MAY-2025 10:18:13)
 
